proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",1240,357,53.39039201532128,-6.273788357334989
green,"[96, 184, 23]",1443,345,53.39116416489425,-6.251775450131262
green,"[96, 184, 23]",1291,345,53.39116802474736,-6.268257344728998
yellow,"[235, 52, 0]",1227,345,53.39116964994867,-6.275197089822782
green,"[96, 184, 23]",1379,332,53.39200786997963,-6.258714216721132
green,"[96, 184, 23]",1291,332,53.39201010463143,-6.268256366225084
green,"[96, 184, 23]",1253,332,53.39201106959471,-6.272376839874518
green,"[96, 184, 23]",1240,332,53.39201139971373,-6.273786475596693
yellow,"[235, 52, 0]",1227,332,53.39201172983274,-6.275196111318868
yellow,"[235, 52, 0]",1519,319,53.39284639473584,-6.243532545824566
green,"[96, 184, 23]",1443,319,53.39284832466239,-6.2517734931234346
green,"[96, 184, 23]",1430,319,53.3928486547814,-6.253183128845609
yellow,"[235, 52, 0]",1392,319,53.39284961974468,-6.257303602495044
green,"[96, 184, 23]",1202,319,53.39285444456107,-6.2779059707422125
green,"[96, 184, 23]",949,319,53.39286086918499,-6.305339650566076
green,"[96, 184, 23]",1836,307,53.393615649418976,-6.209158217672538
yellow,"[235, 52, 0]",1392,307,53.393626924253056,-6.257302699260661
