proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",1773,1574,53.31154684821763,-6.216084895746086
green,"[96, 184, 23]",1747,1574,53.31154750845566,-6.218904167190435
green,"[96, 184, 23]",1735,1574,53.31154781318091,-6.22020536939552
green,"[96, 184, 23]",1722,1574,53.31154814329992,-6.221615005117695
green,"[96, 184, 23]",1481,1574,53.3115542631986,-6.2477474827364725
green,"[96, 184, 23]",1468,1574,53.31155459331762,-6.249157118458648
yellow,"[235, 52, 0]",1443,1574,53.31155522816188,-6.251867956385906
green,"[96, 184, 23]",1430,1574,53.311555558280894,-6.253277592108081
green,"[96, 184, 23]",1417,1574,53.31155588839991,-6.2546872278302565
green,"[96, 184, 23]",1405,1574,53.31155619312516,-6.25598843003534
green,"[96, 184, 23]",1379,1574,53.31155685336319,-6.25880770147969
green,"[96, 184, 23]",1367,1574,53.31155715808843,-6.260108903684775
green,"[96, 184, 23]",1354,1574,53.31155748820745,-6.261518539406949
green,"[96, 184, 23]",1341,1574,53.31155781832646,-6.262928175129124
green,"[96, 184, 23]",1329,1574,53.31155812305171,-6.264229377334209
green,"[96, 184, 23]",1316,1574,53.311558453170726,-6.265639013056383
green,"[96, 184, 23]",1303,1574,53.31155878328974,-6.267048648778558
green,"[96, 184, 23]",1278,1574,53.311559418134,-6.2697594867058175
green,"[96, 184, 23]",1265,1574,53.31155974825302,-6.271169122427992
green,"[96, 184, 23]",1253,1574,53.311560052978265,-6.272470324633076
green,"[96, 184, 23]",1240,1574,53.31156038309728,-6.273879960355251
yellow,"[235, 52, 0]",1227,1574,53.311560713216295,-6.2752895960774255
yellow,"[235, 52, 0]",1215,1574,53.31156101794154,-6.27659079828251
green,"[96, 184, 23]",1202,1574,53.31156134806056,-6.278000434004685
green,"[96, 184, 23]",1189,1574,53.31156167817957,-6.27941006972686
green,"[96, 184, 23]",1177,1574,53.31156198290482,-6.280711271931944
green,"[96, 184, 23]",1164,1574,53.31156231302384,-6.282120907654119
yellow,"[235, 52, 0]",1151,1574,53.31156264314285,-6.283530543376294
red,"[235, 52, 0]",1139,1574,53.3115629478681,-6.2848317455813785
red,"[235, 52, 0]",1126,1574,53.31156327798711,-6.286241381303553
green,"[96, 184, 23]",1113,1574,53.31156360810613,-6.287651017025728
green,"[96, 184, 23]",1101,1574,53.311563912831375,-6.288952219230812
green,"[96, 184, 23]",1088,1574,53.31156424295039,-6.2903618549529865
green,"[96, 184, 23]",1075,1574,53.31156457306941,-6.291771490675162
orange,"[235, 52, 0]",1063,1574,53.31156487779465,-6.293072692880246
red,"[235, 52, 0]",1050,1574,53.31156520791367,-6.294482328602421
red,"[235, 52, 0]",1037,1574,53.31156553803268,-6.295891964324595
green,"[96, 184, 23]",1025,1574,53.31156584275793,-6.29719316652968
red,"[235, 52, 0]",1012,1574,53.311566172876944,-6.298602802251855
green,"[96, 184, 23]",999,1574,53.31156650299596,-6.300012437974029
green,"[96, 184, 23]",1925,1561,53.31238506824859,-6.199602022644435
green,"[96, 184, 23]",1912,1561,53.31238539836761,-6.20101165836661
green,"[96, 184, 23]",1899,1561,53.31238572848663,-6.2024212940887855
green,"[96, 184, 23]",1887,1561,53.312386033211865,-6.203722496293869
green,"[96, 184, 23]",1874,1561,53.31238636333089,-6.205132132016044
yellow,"[235, 52, 0]",1849,1561,53.31238699817514,-6.207842969943304
green,"[96, 184, 23]",1811,1561,53.31238796313842,-6.2119634435927376
green,"[96, 184, 23]",1798,1561,53.31238829325744,-6.213373079314912
green,"[96, 184, 23]",1773,1561,53.3123889281017,-6.216083917242171
green,"[96, 184, 23]",1747,1561,53.31238958833973,-6.218903188686521
green,"[96, 184, 23]",1735,1561,53.312389893064974,-6.220204390891605
orange,"[235, 52, 0]",1722,1561,53.31239022318399,-6.22161402661378
green,"[96, 184, 23]",1709,1561,53.31239055330301,-6.2230236623359545
yellow,"[235, 52, 0]",1697,1561,53.31239085802825,-6.224324864541039
green,"[96, 184, 23]",1671,1561,53.31239151826629,-6.227144135985389
green,"[96, 184, 23]",1659,1561,53.31239182299153,-6.228445338190474
green,"[96, 184, 23]",1493,1561,53.31239603835743,-6.246445302027475
green,"[96, 184, 23]",1481,1561,53.31239634308267,-6.247746504232558
green,"[96, 184, 23]",1468,1561,53.31239667320169,-6.249156139954733
green,"[96, 184, 23]",1455,1561,53.312397003320704,-6.250565775676908
green,"[96, 184, 23]",1430,1561,53.31239763816497,-6.253276613604167
yellow,"[235, 52, 0]",1417,1561,53.31239796828398,-6.254686249326342
green,"[96, 184, 23]",1405,1561,53.31239827300922,-6.255987451531427
yellow,"[235, 52, 0]",1392,1561,53.31239860312824,-6.257397087253601
green,"[96, 184, 23]",1379,1561,53.31239893324726,-6.258806722975776
green,"[96, 184, 23]",1367,1561,53.3123992379725,-6.2601079251808605
green,"[96, 184, 23]",1341,1561,53.312399898210536,-6.26292719662521
green,"[96, 184, 23]",1329,1561,53.31240020293578,-6.264228398830294
yellow,"[235, 52, 0]",1316,1561,53.31240053305479,-6.265638034552469
green,"[96, 184, 23]",1303,1561,53.31240086317381,-6.267047670274644
green,"[96, 184, 23]",1291,1561,53.312401167899054,-6.268348872479728
green,"[96, 184, 23]",1278,1561,53.31240149801807,-6.269758508201903
green,"[96, 184, 23]",1265,1561,53.31240182813709,-6.271168143924078
yellow,"[235, 52, 0]",1253,1561,53.31240213286233,-6.272469346129162
green,"[96, 184, 23]",1240,1561,53.31240246298135,-6.273878981851337
yellow,"[235, 52, 0]",1227,1561,53.31240279310037,-6.275288617573512
yellow,"[235, 52, 0]",1215,1561,53.31240309782561,-6.2765898197785965
green,"[96, 184, 23]",1202,1561,53.31240342794462,-6.277999455500771
green,"[96, 184, 23]",1189,1561,53.312403758063645,-6.279409091222946
green,"[96, 184, 23]",1177,1561,53.312404062788886,-6.28071029342803
green,"[96, 184, 23]",1164,1561,53.3124043929079,-6.282119929150205
green,"[96, 184, 23]",1151,1561,53.31240472302692,-6.28352956487238
red,"[235, 52, 0]",1139,1561,53.31240502775216,-6.284830767077464
orange,"[235, 52, 0]",1126,1561,53.31240535787118,-6.286240402799639
green,"[96, 184, 23]",1113,1561,53.3124056879902,-6.2876500385218135
green,"[96, 184, 23]",1101,1561,53.31240599271544,-6.288951240726898
green,"[96, 184, 23]",1088,1561,53.312406322834455,-6.290360876449073
green,"[96, 184, 23]",1075,1561,53.31240665295348,-6.291770512171247
yellow,"[235, 52, 0]",1063,1561,53.31240695767872,-6.293071714376332
green,"[96, 184, 23]",1050,1561,53.31240728779773,-6.294481350098507
yellow,"[235, 52, 0]",1037,1561,53.31240761791675,-6.295890985820682
orange,"[235, 52, 0]",1025,1561,53.312407922642,-6.297192188025766
green,"[96, 184, 23]",1012,1561,53.31240825276101,-6.298601823747941
green,"[96, 184, 23]",999,1561,53.312408582880025,-6.300011459470116
yellow,"[235, 52, 0]",1912,1549,53.31316270287598,-6.201010755132228
green,"[96, 184, 23]",1899,1549,53.31316303299499,-6.202420390854403
green,"[96, 184, 23]",1887,1549,53.31316333772024,-6.203721593059488
green,"[96, 184, 23]",1874,1549,53.313163667839255,-6.205131228781662
green,"[96, 184, 23]",1861,1549,53.31316399795827,-6.206540864503837
green,"[96, 184, 23]",1849,1549,53.31316430268352,-6.207842066708921
red,"[235, 52, 0]",1735,1549,53.31316719757335,-6.220203487657223
green,"[96, 184, 23]",1722,1549,53.31316752769237,-6.221613123379398
green,"[96, 184, 23]",1709,1549,53.31316785781138,-6.223022759101573
orange,"[235, 52, 0]",1697,1549,53.31316816253663,-6.224323961306657
green,"[96, 184, 23]",1684,1549,53.31316849265564,-6.225733597028832
green,"[96, 184, 23]",1671,1549,53.31316882277466,-6.227143232751007
green,"[96, 184, 23]",1659,1549,53.313169127499904,-6.228444434956091
green,"[96, 184, 23]",1455,1549,53.31317430782907,-6.250564872442526
green,"[96, 184, 23]",1443,1549,53.31317461255432,-6.2518660746476105
green,"[96, 184, 23]",1430,1549,53.313174942673335,-6.253275710369785
green,"[96, 184, 23]",1417,1549,53.31317527279235,-6.25468534609196
yellow,"[235, 52, 0]",1405,1549,53.3131755775176,-6.255986548297044
yellow,"[235, 52, 0]",1392,1549,53.31317590763661,-6.257396184019219
yellow,"[235, 52, 0]",1379,1549,53.31317623775563,-6.258805819741394
yellow,"[235, 52, 0]",1367,1549,53.31317654248088,-6.260107021946478
green,"[96, 184, 23]",1354,1549,53.31317687259989,-6.261516657668653
yellow,"[235, 52, 0]",1341,1549,53.3131772027189,-6.262926293390827
green,"[96, 184, 23]",1329,1549,53.31317750744415,-6.264227495595912
green,"[96, 184, 23]",1316,1549,53.31317783756317,-6.265637131318087
yellow,"[235, 52, 0]",1303,1549,53.31317816768218,-6.267046767040262
green,"[96, 184, 23]",1291,1549,53.31317847240743,-6.2683479692453465
green,"[96, 184, 23]",1278,1549,53.31317880252645,-6.269757604967521
green,"[96, 184, 23]",1265,1549,53.31317913264546,-6.271167240689696
green,"[96, 184, 23]",1253,1549,53.31317943737071,-6.27246844289478
green,"[96, 184, 23]",1240,1549,53.31317976748972,-6.273878078616955
green,"[96, 184, 23]",1227,1549,53.313180097608736,-6.27528771433913
yellow,"[235, 52, 0]",1215,1549,53.313180402333984,-6.276588916544214
green,"[96, 184, 23]",1202,1549,53.313180732453,-6.277998552266388
green,"[96, 184, 23]",1189,1549,53.31318106257201,-6.279408187988564
green,"[96, 184, 23]",1177,1549,53.31318136729726,-6.280709390193648
orange,"[235, 52, 0]",1164,1549,53.31318169741628,-6.282119025915823
yellow,"[235, 52, 0]",1151,1549,53.31318202753529,-6.283528661637997
red,"[235, 52, 0]",1139,1549,53.31318233226054,-6.284829863843082
green,"[96, 184, 23]",1126,1549,53.31318266237955,-6.286239499565257
