proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[205, 220, 57]",1633,1422,53.32139626045153,-6.231254147169896
yellow,"[205, 220, 57]",1608,1422,53.32139689529579,-6.233964985097154
yellow,"[205, 220, 57]",1595,1422,53.321397225414806,-6.2353746208193295
yellow,"[205, 220, 57]",1557,1422,53.32139819037808,-6.239495094468763
yellow,"[205, 220, 57]",1481,1422,53.32140012030464,-6.247736041767632
yellow,"[205, 220, 57]",1455,1422,53.32140078054268,-6.250555313211981
red,"[235, 52, 0]",1443,1422,53.32140108526792,-6.2518565154170656
yellow,"[205, 220, 57]",1392,1422,53.32140238035021,-6.2573866247886745
yellow,"[205, 220, 57]",1227,1422,53.32140657032233,-6.275278155108585
green,"[96, 184, 23]",1164,1422,53.32140817012987,-6.282109466685278
yellow,"[205, 220, 57]",1151,1422,53.321408500248886,-6.283519102407452
yellow,"[205, 220, 57]",1088,1422,53.321410100056426,-6.290350413984146
green,"[96, 184, 23]",1050,1422,53.3214110650197,-6.29447088763358
green,"[96, 184, 23]",1037,1422,53.32141139513872,-6.295880523355755
red,"[235, 52, 0]",1025,1422,53.321411699863965,-6.297181725560839
yellow,"[205, 220, 57]",999,1422,53.321412360102,-6.3000009970051885
yellow,"[205, 220, 57]",885,1422,53.32141525499183,-6.31236241795349
yellow,"[205, 220, 57]",847,1422,53.321416219955104,-6.3164828916029245
red,"[235, 52, 0]",835,1422,53.32141652468035,-6.317784093808008
yellow,"[205, 220, 57]",771,1422,53.32141814988166,-6.324723838901792
green,"[96, 184, 23]",733,1422,53.321419114844936,-6.328844312551226
red,"[235, 52, 0]",1849,1409,53.32223285528119,-6.207831528974462
yellow,"[205, 220, 57]",1785,1409,53.32223448048249,-6.214771274068246
red,"[235, 52, 0]",1583,1409,53.32223961002412,-6.2366748445205
yellow,"[205, 220, 57]",1557,1409,53.32224027026216,-6.23949411596485
yellow,"[205, 220, 57]",1481,1409,53.32224220018871,-6.247735063263717
yellow,"[205, 220, 57]",1468,1409,53.322242530307726,-6.2491446989858925
yellow,"[205, 220, 57]",1455,1409,53.32224286042674,-6.250554334708067
red,"[235, 52, 0]",1443,1409,53.32224316515199,-6.251855536913151
yellow,"[205, 220, 57]",1430,1409,53.322243495271,-6.253265172635326
red,"[235, 52, 0]",1417,1409,53.32224382539002,-6.254674808357501
red,"[235, 52, 0]",1367,1409,53.32224509507854,-6.260096484212019
yellow,"[205, 220, 57]",1329,1409,53.32224606004182,-6.2642169578614535
yellow,"[205, 220, 57]",1316,1409,53.32224639016084,-6.265626593583628
green,"[96, 184, 23]",1088,1409,53.3222521799405,-6.290349435480231
green,"[96, 184, 23]",1037,1409,53.32225347502279,-6.29587954485184
yellow,"[205, 220, 57]",898,1409,53.32225700475688,-6.310951803727401
